Gene stable ID,Gene name,FlyBase annotation ID,Gene type,Gene description
FBgn0053832,CG33832,CG33832,protein_coding,CG33832
FBgn0267657,CR45995,CR45995,ncRNA,CR45995
FBgn0262170,CG42878,CG42878,protein_coding,CG42878
FBgn0263538,mir-4965,CR43523,ncRNA,mir-4965 stem loop
FBgn0038189,Art6,CG9927,protein_coding,Arginine methyltransferase 6
FBgn0085193,CG34164,CG34164,protein_coding,CG34164
FBgn0037583,Veneno,CG9684,protein_coding,Veneno
FBgn0047038,ND-13B,CG6463,protein_coding,NADH dehydrogenase (ubiquinone) 13 kDa B subunit
FBgn0044324,Chro,CG10712,protein_coding,Chromator
FBgn0038606,CG15803,CG15803,protein_coding,CG15803
FBgn0267702,CR46035,CR46035,ncRNA,CR46035
FBgn0083949,side-III,CG34113,protein_coding,sidestep III
FBgn0264443,CG43861,CG43861,protein_coding,CG43861
FBgn0000153,b,CG7811,protein_coding,black
FBgn0034487,Efhc1.2,CG11048,protein_coding,EF-hand domain containing 1.2
FBgn0038054,CG5509,CG5509,protein_coding,CG5509
FBgn0034405,Jheh2,CG15102,protein_coding,Juvenile hormone epoxide hydrolase 2
FBgn0034665,CG4372,CG4372,protein_coding,CG4372
FBgn0266730,CR45203,CR45203,ncRNA,CR45203
FBgn0030823,TTLL1A,CG8918,protein_coding,Tubulin tyrosine ligase-like 1A
FBgn0035607,CG4835,CG4835,protein_coding,CG4835
FBgn0004368,Ptp4E,CG6899,protein_coding,Protein tyrosine phosphatase 4E
FBgn0286036,CR46358,CR46358,ncRNA,stable intronic sequence RNA CR46358
FBgn0035906,GstO2,CG6673,protein_coding,Glutathione S transferase O2
FBgn0051383,Leu-TAG-1-1,CR31383,tRNA,Leucine-TAG 1-1
FBgn0039612,Nepl19,CG14523,protein_coding,Neprilysin-like 19
FBgn0266488,CG45087,CG45087,protein_coding,CG45087
FBgn0031498,CG17260,CG17260,protein_coding,CG17260
FBgn0037409,Osi24,CG15589,protein_coding,Osiris 24
FBgn0266825,CR45287,CR45287,ncRNA,CR45287
FBgn0266740,CR45213,CR45213,ncRNA,CR45213
FBgn0266039,CR44804,CR44804,ncRNA,CR44804
FBgn0034540,Lrt,CG11136,protein_coding,Leucine-rich tendon-specific protein
FBgn0038788,Sirt2,CG5085,protein_coding,Sirtuin 2
FBgn0265888,CR44677,CR44677,ncRNA,CR44677
FBgn0031282,Pex12,CG3639,protein_coding,Peroxin 12
FBgn0032835,CG16772,CG16772,protein_coding,CG16772
FBgn0026079,Nsun2,CG6133,protein_coding,"NOP2-Sun domain family, member 2"
FBgn0026398,Or22a,CG12193,protein_coding,Odorant receptor 22a
FBgn0004782,Ccp84Ab,CG1252,protein_coding,Ccp84Ab
FBgn0265347,CR44301,CR44301,ncRNA,CR44301
FBgn0063670,CG40228,CG40228,protein_coding,CG40228
FBgn0039911,CG1909,CG1909,protein_coding,CG1909
FBgn0031531,CG8840,CG8840,protein_coding,CG8840
FBgn0265986,CR44765,CR44765,ncRNA,CR44765
FBgn0266198,CR44893,CR44893,ncRNA,CR44893
FBgn0035859,CG13678,CG13678,protein_coding,CG13678
FBgn0000427,dec,CG2175,protein_coding,defective chorion
FBgn0036711,CG13727,CG13727,protein_coding,CG13727
FBgn0032919,pths,CG9253,protein_coding,porthos
FBgn0036580,PDCD-5,CG13072,protein_coding,Programmed Cell Death 5
FBgn0032004,CG8292,CG8292,protein_coding,CG8292
FBgn0034829,CG9899,CG9899,protein_coding,CG9899
FBgn0038799,MFS9,CG4288,protein_coding,Major Facilitator Superfamily Transporter 9
FBgn0032586,Tpr2,CG4599,protein_coding,Tetratricopeptide repeat protein 2
FBgn0029512,Aos1,CG12276,protein_coding,Activator of SUMO 1
FBgn0052643,CG32643,CG32643,protein_coding,CG32643
FBgn0011866,Gly-GCC-2-1,CR31980,tRNA,Glycine-GCC 2-1
FBgn0085309,CG34280,CG34280,protein_coding,CG34280
FBgn0039859,Mnat9,CG11539,protein_coding,microtubule-associated Nat9
FBgn0264437,CR43855,CR43855,ncRNA,CR43855
FBgn0035358,CG14949,CG14949,protein_coding,CG14949
FBgn0031441,CG9962,CG9962,protein_coding,CG9962
FBgn0286027,Rnmt,CG3688,protein_coding,RNA guanine-7 methyltransferase
FBgn0267268,CR45704,CR45704,ncRNA,CR45704
FBgn0039754,CG9747,CG9747,protein_coding,CG9747
FBgn0030242,sofe,CG1655,protein_coding,sister of feo
FBgn0039120,Nup98-96,CG10198,protein_coding,Nucleoporin 98-96kD
FBgn0033423,Alp6,CG1809,protein_coding,Alkaline phosphatase 6
FBgn0266084,Fhos,CG42610,protein_coding,Formin homology 2 domain containing
FBgn0020372,TM4SF,CG11303,protein_coding,Transmembrane 4 superfamily
FBgn0264336,CR43792,CR43792,ncRNA,CR43792
FBgn0086069,Me28S-C3351,CR34698,snoRNA,CR34698
FBgn0053365,CR33365,CR33365,rRNA,CR33365
FBgn0065109,ppk11,CG34058,protein_coding,pickpocket 11
FBgn0053816,CG33816,CG33816,protein_coding,CG33816
FBgn0029892,CG3184,CG3184,protein_coding,CG3184
FBgn0026207,mbo,CG6819,protein_coding,members only
FBgn0003206,Ras64B,CG1167,protein_coding,Ras oncogene at 64B
