Gene stable ID,Gene name,Gene type,Database of genes from NCBI RefSeq genomes ID
LOC6902552,,protein_coding,6902552
LOC6897207,,protein_coding,6897207
LOC4814018,,protein_coding,4814018
LOC117185624,,lncRNA,117185624
LOC4817869,,protein_coding,4817869
LOC6898001,,protein_coding,6898001
LOC117183226,,lncRNA,117183226
LOC4816216,,protein_coding,4816216
LOC4803285,,protein_coding,4803285
LOC44805037,HCS66_mgt12,tRNA,44805037
LOC4817791,,protein_coding,4817791
LOC4817676,,protein_coding,4817676
LOC117184822,,protein_coding,117184822
LOC6901969,,protein_coding,6901969
LOC6902008,,protein_coding,6902008
LOC117185060,,lncRNA,117185060
LOC4815235,,protein_coding,4815235
LOC4816431,,protein_coding,4816431
LOC4812752,,protein_coding,4812752
LOC26533252,,protein_coding,26533252
LOC4816590,,protein_coding,4816590
LOC6900993,,protein_coding,6900993
LOC6896800,,protein_coding,6896800
LOC6898126,,protein_coding,6898126
LOC117184219,,lncRNA,117184219
LOC26533571,,protein_coding,26533571
LOC6896880,,protein_coding,6896880
LOC4815739,,protein_coding,4815739
LOC4818162,,protein_coding,4818162
LOC117183269,,lncRNA,117183269
LOC4804449,,protein_coding,4804449
LOC6898528,,snoRNA,6898528
LOC117185366,Trnas-aga-6,tRNA,117185366
LOC117184447,,lncRNA,117184447
LOC4800403,,protein_coding,4800403
LOC4812651,,protein_coding,4812651
LOC4803278,,protein_coding,4803278
LOC6897344,,protein_coding,6897344
LOC117185290,,guide_RNA,117185290
LOC4813320,,protein_coding,4813320
LOC4811983,,protein_coding,4811983
LOC4800669,,protein_coding,4800669
LOC6903391,,protein_coding,6903391
LOC4805173,,protein_coding,4805173
LOC4801897,,protein_coding,4801897
LOC4801842,,protein_coding,4801842
LOC4803736,,protein_coding,4803736
LOC4800665,,protein_coding,4800665
LOC6900072,,protein_coding,6900072
LOC26533225,,protein_coding,26533225
LOC6903464,,protein_coding,6903464
LOC4803658,,protein_coding,4803658
LOC4803733,,protein_coding,4803733
LOC4805224,,protein_coding,4805224
LOC4813399,,protein_coding,4813399
LOC26532264,,protein_coding,26532264
LOC4816407,,protein_coding,4816407
LOC6898277,,protein_coding,6898277
LOC6897864,,protein_coding,6897864
LOC4813265,,protein_coding,4813265
