Gene stable ID,"Drosophila pseudoobscura (Fruit fly, MV2-25) gene stable ID","Drosophila pseudoobscura (Fruit fly, MV2-25) orthology confidence [0 low, 1 high]","Drosophila pseudoobscura (Fruit fly, MV2-25) homology type",Gene name
FBgn0262170,LOC26533233,1,ortholog_one2one,CG42878
FBgn0037583,LOC4801699,1,ortholog_one2one,Veneno
FBgn0047038,LOC4812489,1,ortholog_one2one,ND-13B
FBgn0044324,LOC6900461,1,ortholog_one2one,Chro
FBgn0038606,LOC4801457,1,ortholog_one2one,CG15803
FBgn0083949,LOC6897387,1,ortholog_one2one,side-III
FBgn0264443,LOC4816604,1,ortholog_one2one,CG43861
FBgn0000153,LOC4816279,1,ortholog_one2one,b
FBgn0034487,LOC4805547,0,ortholog_one2one,Efhc1.2
FBgn0038054,LOC4803263,0,ortholog_one2many,CG5509
FBgn0034405,LOC4804058,1,ortholog_one2one,Jheh2
FBgn0034665,LOC4805250,1,ortholog_one2one,CG4372
FBgn0030823,LOC4815336,1,ortholog_one2one,TTLL1A
FBgn0035607,LOC4813711,1,ortholog_one2one,CG4835
FBgn0004368,LOC4814912,1,ortholog_one2one,Ptp4E
FBgn0035906,LOC6900706,1,ortholog_one2one,GstO2
FBgn0039612,LOC4801696,1,ortholog_one2one,Nepl19
FBgn0031498,LOC4817138,1,ortholog_one2one,CG17260
FBgn0037409,LOC4801906,1,ortholog_one2one,Osi24
FBgn0034540,LOC4804421,0,ortholog_one2one,Lrt
FBgn0038788,LOC4801854,1,ortholog_one2one,Sirt2
FBgn0031282,LOC6903707,0,ortholog_one2many,Pex12
FBgn0031282,LOC4817333,1,ortholog_one2many,Pex12
FBgn0031282,LOC117184548,0,ortholog_one2many,Pex12
FBgn0032835,LOC4816717,1,ortholog_one2one,CG16772
FBgn0026079,LOC4815355,1,ortholog_one2one,Nsun2
FBgn0026398,LOC117183964,1,ortholog_many2many,Or22a
FBgn0026398,LOC6903208,1,ortholog_many2many,Or22a
FBgn0026398,LOC4817633,0,ortholog_many2many,Or22a
FBgn0004782,LOC4802264,0,ortholog_many2many,Ccp84Ab
FBgn0004782,LOC6897538,1,ortholog_many2many,Ccp84Ab
FBgn0063670,LOC4811643,0,ortholog_one2one,CG40228
FBgn0039911,LOC4811845,1,ortholog_one2one,CG1909
FBgn0035859,LOC4814141,1,ortholog_one2many,CG13678
FBgn0000427,LOC6901818,1,ortholog_one2one,dec
FBgn0036711,LOC6900700,1,ortholog_one2one,CG13727
FBgn0032919,LOC4818190,1,ortholog_one2one,pths
FBgn0036580,LOC4812253,1,ortholog_one2one,PDCD-5
FBgn0032004,LOC4817291,1,ortholog_one2one,CG8292
FBgn0038799,LOC4801867,1,ortholog_one2one,MFS9
FBgn0032586,LOC6903123,1,ortholog_one2many,Tpr2
FBgn0032586,LOC4817496,1,ortholog_one2many,Tpr2
FBgn0032586,LOC6902049,0,ortholog_one2many,Tpr2
FBgn0029512,LOC4800835,1,ortholog_one2one,Aos1
FBgn0039859,LOC4801114,1,ortholog_one2one,Mnat9
FBgn0035358,LOC4814056,1,ortholog_one2one,CG14949
FBgn0031441,LOC6903235,0,ortholog_one2many,CG9962
FBgn0031441,LOC6897604,0,ortholog_one2many,CG9962
FBgn0286027,LOC4817840,1,ortholog_one2one,Rnmt
FBgn0039754,LOC4800405,1,ortholog_one2one,CG9747
FBgn0030242,LOC4815480,1,ortholog_one2many,sofe
FBgn0039120,LOC4801570,1,ortholog_one2one,Nup98-96
FBgn0033423,LOC4805303,1,ortholog_one2one,Alp6
FBgn0266084,LOC4812710,1,ortholog_one2one,Fhos
FBgn0020372,LOC4803510,1,ortholog_one2one,TM4SF
FBgn0065109,LOC117185130,0,ortholog_one2many,ppk11
FBgn0065109,LOC6902783,1,ortholog_one2many,ppk11
FBgn0053816,LOC117183568,1,ortholog_many2many,His1:CG33816
FBgn0053816,LOC117185631,1,ortholog_many2many,His1:CG33816
FBgn0053816,LOC26534267,1,ortholog_many2many,His1:CG33816
FBgn0053816,LOC117183621,1,ortholog_many2many,His1:CG33816
FBgn0053816,LOC117185633,0,ortholog_many2many,His1:CG33816
FBgn0053816,LOC117185630,0,ortholog_many2many,His1:CG33816
FBgn0053816,LOC117185606,1,ortholog_many2many,His1:CG33816
FBgn0053816,LOC117185608,0,ortholog_many2many,His1:CG33816
FBgn0053816,LOC117185600,1,ortholog_many2many,His1:CG33816
FBgn0053816,LOC26532116,1,ortholog_many2many,His1:CG33816
FBgn0053816,LOC26533245,0,ortholog_many2many,His1:CG33816
FBgn0053816,LOC117185634,1,ortholog_many2many,His1:CG33816
FBgn0053816,LOC117185607,1,ortholog_many2many,His1:CG33816
FBgn0053816,LOC26532398,0,ortholog_many2many,His1:CG33816
FBgn0053816,LOC117183574,0,ortholog_many2many,His1:CG33816
FBgn0029892,LOC4815990,1,ortholog_one2one,CG3184
FBgn0026207,LOC4800871,1,ortholog_one2one,mbo
FBgn0003206,LOC4812641,1,ortholog_one2one,Ras64B
FBgn0011279,LOC4812865,1,ortholog_one2one,Obp69a
FBgn0030829,LOC6901225,1,ortholog_one2one,CG12998
FBgn0035600,LOC4813477,1,ortholog_one2one,Cyt-c1
FBgn0033087,LOC4803422,1,ortholog_one2one,Hsepi
FBgn0261628,LOC26532159,1,ortholog_one2one,CG42711
FBgn0031054,LOC26533691,1,ortholog_one2one,Ssu72
FBgn0051418,LOC6897109,1,ortholog_one2many,CG31418
FBgn0050021,LOC4805640,1,ortholog_one2one,metro
FBgn0019968,LOC4804863,1,ortholog_one2one,Khc-73
FBgn0032946,LOC4816748,1,ortholog_one2one,nrv3
FBgn0026390,LOC4817563,1,ortholog_one2one,Or33c
FBgn0004620,LOC4816739,1,ortholog_one2one,GluRIIA
FBgn0038425,LOC4802552,1,ortholog_one2one,CG14881
FBgn0036853,LOC4812484,1,ortholog_one2one,mRpL21
FBgn0286976,LOC4801898,1,ortholog_one2one,Osi10a
FBgn0052069,LOC4813815,1,ortholog_one2one,CG32069
FBgn0033919,LOC6898980,1,ortholog_one2one,CG8547
FBgn0260741,LOC4802575,1,ortholog_one2one,CG3281
FBgn0036146,LOC4813357,1,ortholog_one2one,nkt
FBgn0029094,LOC6896818,0,ortholog_one2many,asf1
FBgn0029094,LOC4811999,1,ortholog_one2many,asf1
FBgn0036730,LOC6903560,0,ortholog_one2many,qjt
FBgn0029980,LOC4815413,1,ortholog_one2one,Dhdds
FBgn0004591,LOC6900339,1,ortholog_many2many,Eig71Ed
FBgn0004591,LOC4813572,0,ortholog_many2many,Eig71Ed
FBgn0016081,LOC4812689,1,ortholog_one2one,fry
FBgn0031606,LOC4817573,1,ortholog_one2one,CG15439
FBgn0036310,LOC6900836,0,ortholog_one2one,CG10969
FBgn0040799,LOC6900145,0,ortholog_one2many,CG13051
FBgn0040799,LOC6900144,0,ortholog_one2many,CG13051
FBgn0040799,LOC6900475,0,ortholog_one2many,CG13051
FBgn0040799,LOC6900005,1,ortholog_one2many,CG13051
FBgn0002945,LOC4812124,1,ortholog_one2one,nkd
FBgn0037762,LOC4801489,0,ortholog_one2many,eloF
FBgn0029912,LOC4816076,1,ortholog_one2one,Tmf
FBgn0030558,LOC4814877,1,ortholog_one2one,Tat
FBgn0028475,LOC4801561,1,ortholog_one2one,Hrd3
FBgn0051792,LOC6902791,1,ortholog_one2many,CG31792
FBgn0035471,LOC4812074,1,ortholog_one2one,Sc2
FBgn0038693,LOC4803246,1,ortholog_one2one,unc79
FBgn0030230,LOC4815985,1,ortholog_one2one,Rph
FBgn0036335,LOC4813788,1,ortholog_one2one,mRpL20
FBgn0027929,LOC4816639,1,ortholog_one2one,NimB1
FBgn0003527,LOC4804934,1,ortholog_one2one,stil
FBgn0283545,LOC4815288,1,ortholog_one2one,vilya
FBgn0030029,LOC4815086,1,ortholog_one2one,CG15343
FBgn0038744,LOC4802901,1,ortholog_one2one,CG4733
FBgn0036950,LOC117185410,1,ortholog_one2many,CG6996
FBgn0036950,LOC4813810,1,ortholog_one2many,CG6996
FBgn0010770,LOC4802246,1,ortholog_one2one,ppan
FBgn0262112,LOC4800995,1,ortholog_one2one,sro
FBgn0034705,LOC4805698,1,ortholog_one2one,CG11170
FBgn0001255,LOC4802718,1,ortholog_one2one,ImpE3
FBgn0260858,LOC4814944,1,ortholog_one2one,Ykt6
FBgn0038039,LOC4800826,1,ortholog_one2one,CG5196
FBgn0286051,LOC4812371,1,ortholog_one2one,Rexo5
FBgn0036110,LOC4812813,1,ortholog_one2one,Cpr67Fb
FBgn0035855,LOC4814105,0,ortholog_one2one,CG7366
FBgn0266369,LOC4816835,1,ortholog_one2one,Mtp
FBgn0003249,LOC4803062,1,ortholog_one2one,Rh3
FBgn0038033,LOC26533777,1,ortholog_many2many,CG10097
FBgn0038033,LOC6898828,0,ortholog_many2many,CG10097
FBgn0030451,LOC4814734,1,ortholog_one2one,CG15717
FBgn0037028,LOC4812769,1,ortholog_one2one,CG3618
FBgn0032509,LOC4817908,1,ortholog_one2one,Grx3
FBgn0037276,LOC4802523,1,ortholog_one2one,Ccdc39
FBgn0032878,LOC4817097,1,ortholog_one2one,CG9316
FBgn0051661,LOC4817636,1,ortholog_one2one,CG31661
FBgn0035854,LOC6900945,1,ortholog_one2one,Dhps
FBgn0037336,LOC4802431,1,ortholog_one2one,CG2519
FBgn0054021,LOC6902675,0,ortholog_one2one,CG34021
FBgn0030366,LOC4815118,1,ortholog_one2one,Usp7
FBgn0044511,LOC6897129,1,ortholog_one2one,mRpS21
FBgn0052672,LOC6902160,1,ortholog_one2one,Atg8a
FBgn0030599,LOC6902823,0,ortholog_one2many,CG9030
FBgn0012036,LOC4818031,1,ortholog_one2one,Aldh
FBgn0030858,LOC4815640,1,ortholog_one2one,IntS2
FBgn0035498,LOC4813063,1,ortholog_one2one,Fit1
FBgn0250825,LOC6902222,0,ortholog_one2one,CG34241
FBgn0033893,LOC4804770,0,ortholog_one2one,CG18371
FBgn0035272,LOC4812302,1,ortholog_one2one,mRpL46
FBgn0001122,LOC4805339,1,ortholog_one2one,Galphao
FBgn0039135,LOC4801748,1,ortholog_one2one,CG13603
FBgn0015524,LOC4804400,1,ortholog_one2one,otp
FBgn0287585,LOC4812084,1,ortholog_one2one,Pss
FBgn0032058,LOC4816198,1,ortholog_one2one,CG9289
FBgn0032335,LOC4816977,1,ortholog_one2one,CG14915
FBgn0013812,LOC4803305,1,ortholog_one2one,Dhc93AB
FBgn0036602,LOC4812224,1,ortholog_one2one,CG13042
FBgn0035227,LOC4814086,1,ortholog_one2one,Iml1
FBgn0264297,LOC6898450,1,ortholog_one2many,CG43775
FBgn0034928,LOC4803520,1,ortholog_one2one,CG13562
FBgn0031032,LOC6898136,0,ortholog_one2one,CG14204
FBgn0015521,LOC4816681,1,ortholog_one2one,RpS21
FBgn0039503,LOC4801243,1,ortholog_one2one,CG14262
FBgn0000163,LOC4814543,1,ortholog_one2one,baz
FBgn0031047,LOC4815478,0,ortholog_one2many,Rcd-1
FBgn0260393,LOC117185407,1,ortholog_one2many,CG17147
FBgn0260393,LOC6900423,1,ortholog_one2many,CG17147
FBgn0036348,LOC4813302,0,ortholog_one2one,CG17687
FBgn0001987,LOC4816652,1,ortholog_one2one,Gli
FBgn0003720,LOC4800316,1,ortholog_one2one,tll
FBgn0038902,LOC4800963,1,ortholog_one2one,CG6800
FBgn0036769,LOC4813743,1,ortholog_one2one,Tsp74F
FBgn0004870,LOC6899793,1,ortholog_one2one,bab1
FBgn0016131,LOC4803571,0,ortholog_one2one,Cdk4
FBgn0031170,LOC4815620,1,ortholog_one2one,Abca3
FBgn0053143,LOC6898419,1,ortholog_one2one,CG33143
FBgn0038435,LOC4802469,1,ortholog_one2one,Gyc89Da
FBgn0004901,LOC4802993,1,ortholog_one2one,Prat
FBgn0035238,LOC4812559,1,ortholog_one2one,CG12104
FBgn0039713,LOC4800240,1,ortholog_one2one,RpS8
FBgn0033987,LOC4804992,1,ortholog_one2one,ckn
FBgn0029949,LOC6901761,0,ortholog_one2one,CG15035
FBgn0010383,LOC4814417,1,ortholog_one2one,Cyp18a1
FBgn0031677,LOC4816356,1,ortholog_one2one,CG14036
FBgn0039889,LOC4811778,1,ortholog_one2one,Arl4
FBgn0011836,LOC6900646,1,ortholog_one2one,Taf2
FBgn0030912,LOC4814365,1,ortholog_one2one,CG6023
FBgn0000180,LOC4817353,1,ortholog_one2one,bib
FBgn0085491,LOC6900884,1,ortholog_one2one,CG34462
FBgn0029888,LOC4816029,1,ortholog_one2one,ND-ASHI
FBgn0034423,LOC6901010,0,ortholog_one2one,tbrd-2
FBgn0028953,LOC4803928,1,ortholog_one2one,CG14478
FBgn0032685,LOC4817056,1,ortholog_one2one,CG10211
FBgn0003984,LOC4812532,1,ortholog_one2one,vn
FBgn0027793,LOC4816051,1,ortholog_one2one,CG14787
FBgn0029740,LOC4814913,1,ortholog_one2one,CG12680
FBgn0037591,LOC117185148,1,ortholog_one2one,Or85c
FBgn0036770,LOC4813671,1,ortholog_one2one,Prestin
FBgn0002719,LOC4801426,1,ortholog_one2one,Men
FBgn0032680,LOC6902934,0,ortholog_one2one,Ntf-2r
FBgn0032126,LOC4816968,1,ortholog_one2one,CG13113
FBgn0039774,LOC4800384,1,ortholog_one2one,CDase
FBgn0035355,LOC6900993,1,ortholog_one2many,CG16985
FBgn0035355,LOC4814153,1,ortholog_one2many,CG16985
FBgn0259700,LOC6901674,1,ortholog_one2one,CG42354
FBgn0040207,LOC6901684,1,ortholog_one2one,kat80
FBgn0051221,LOC4803261,1,ortholog_one2one,CG31221
FBgn0003891,LOC4803759,1,ortholog_one2one,tud
FBgn0028520,LOC4816334,1,ortholog_one2one,CG4891
FBgn0036833,LOC4812298,1,ortholog_one2one,CG3819
FBgn0262858,LOC6896756,1,ortholog_one2one,MtnF
FBgn0010433,LOC4801798,1,ortholog_one2one,ato
FBgn0263113,LOC4803992,1,ortholog_one2one,Cc2d2a
FBgn0000414,LOC4812251,1,ortholog_one2one,Dab
FBgn0010114,LOC4804503,1,ortholog_one2one,hig
FBgn0037472,LOC4802917,1,ortholog_one2one,CG10098
FBgn0051897,LOC6896677,0,ortholog_one2one,CG31897
FBgn0030391,LOC4816007,1,ortholog_one2one,Rab40
FBgn0029746,LOC4816049,1,ortholog_one2one,CG15465
FBgn0037950,LOC4802834,1,ortholog_one2one,HisCl1
FBgn0003598,LOC6897163,1,ortholog_one2one,Su(var)3-7
FBgn0035523,LOC4812674,1,ortholog_one2one,Ctl1
FBgn0031544,LOC4816911,1,ortholog_one2one,CG17593
FBgn0035584,LOC6900073,1,ortholog_one2one,CG17030
FBgn0011289,LOC4801245,1,ortholog_one2one,TfIIA-L
FBgn0034426,LOC6902428,0,ortholog_one2many,AANATL5
FBgn0052350,LOC6899768,0,ortholog_one2one,Vps11
FBgn0036621,LOC4812395,1,ortholog_one2one,roq
FBgn0259677,LOC6902283,1,ortholog_one2one,CG42346
FBgn0001341,LOC6902176,0,ortholog_one2one,Mybbp1A
FBgn0036439,LOC4813112,1,ortholog_one2one,CG13474
FBgn0033355,LOC4803350,1,ortholog_one2one,CG13748
FBgn0011020,LOC6897850,1,ortholog_one2one,Sas-4
FBgn0031194,LOC4815455,1,ortholog_one2one,CG17598
FBgn0030552,LOC4815081,1,ortholog_one2one,mRpL38
FBgn0039735,LOC4800235,1,ortholog_one2one,Nph
FBgn0031305,LOC4817600,1,ortholog_one2one,Iris
FBgn0000524,LOC4816014,1,ortholog_one2one,dx
FBgn0039812,LOC117185676,1,ortholog_one2one,CG15548
FBgn0002905,LOC4801347,1,ortholog_one2one,PolQ
FBgn0284435,LOC6901851,1,ortholog_one2one,tyn
FBgn0023177,LOC4815858,1,ortholog_one2one,Pp4-19C
