"","Dmel.Gene.stable.ID","Dpse.Gene.stable.ID","Dpse.Gene.name","Dpse.Gene.type","LOC","Dmel.Gene.name.x","Dmel.orthology.confidence","Dmel.orthology.type","Dmel.Gene.name.y","Flybase.annotation.ID","Dmel.Gene.type","Dmel.Gene.description"
"1","FBgn0000003",NA,NA,NA,NA,NA,NA,NA,"CR32864","CR32864","ncRNA","Signal recognition particle 7SL RNA CR32864"
"2","FBgn0000008","LOC4805701","","protein_coding",4805701,"a",0,"ortholog_one2one","a","CG6741","protein_coding","arc"
"3","FBgn0000014","LOC6897446","","protein_coding",6897446,"abd-A",1,"ortholog_one2one","abd-A","CG10325","protein_coding","abdominal A"
"4","FBgn0000015",NA,NA,NA,NA,NA,NA,NA,"Abd-B","CG11648","protein_coding","Abdominal B"
"5","FBgn0000017","LOC4812679","","protein_coding",4812679,"Abl",1,"ortholog_one2one","Abl","CG4032","protein_coding","Abl tyrosine kinase"
"6","FBgn0000018","LOC4811738","","protein_coding",4811738,"abo",1,"ortholog_one2one","abo","CG6093","protein_coding","abnormal oocyte"
"7","FBgn0000022","LOC4815372","","protein_coding",4815372,"ac",1,"ortholog_one2one","ac","CG3796","protein_coding","achaete"
"8","FBgn0000024","LOC4801388","","protein_coding",4801388,"Ace",1,"ortholog_one2one","Ace","CG17907","protein_coding","Acetylcholine esterase"
"9","FBgn0000028","LOC6901810","","protein_coding",6901810,"acj6",1,"ortholog_one2one","acj6","CG9151","protein_coding","abnormal chemosensory jump 6"
"10","FBgn0000032","LOC6896711","","protein_coding",6896711,"Acph-1",1,"ortholog_one2one","Acph-1","CG7899","protein_coding","Acid phosphatase 1"
"11","FBgn0000036","LOC6897479","","protein_coding",6897479,"nAChRalpha1",1,"ortholog_one2one","nAChRalpha1","CG5610","protein_coding","nicotinic Acetylcholine Receptor alpha1"
"12","FBgn0000037","LOC4805615","","protein_coding",4805615,"mAChR-A",1,"ortholog_one2one","mAChR-A","CG4356","protein_coding","muscarinic Acetylcholine Receptor, A-type"
"13","FBgn0000038","LOC4811870","","protein_coding",4811870,"nAChRbeta1",1,"ortholog_one2one","nAChRbeta1","CG11348","protein_coding","nicotinic Acetylcholine Receptor beta1"
"14","FBgn0000039","LOC4802146","","protein_coding",4802146,"nAChRalpha2",1,"ortholog_one2one","nAChRalpha2","CG6844","protein_coding","nicotinic Acetylcholine Receptor alpha2"
"15","FBgn0000042","LOC4814924","","protein_coding",4814924,"Act5C",1,"ortholog_one2one","Act5C","CG4027","protein_coding","Actin 5C"
"16","FBgn0000043","LOC26534122","","protein_coding",26534122,"Act42A",0,"ortholog_one2many","Act42A","CG12051","protein_coding","Actin 42A"
"17","FBgn0000043","LOC6898658","","protein_coding",6898658,"Act42A",1,"ortholog_one2many","Act42A","CG12051","protein_coding","Actin 42A"
"18","FBgn0000044","LOC6898475","","protein_coding",6898475,"Act57B",1,"ortholog_one2one","Act57B","CG10067","protein_coding","Actin 57B"
"19","FBgn0000045","LOC4812150","","protein_coding",4812150,"Act79B",1,"ortholog_one2one","Act79B","CG7478","protein_coding","Actin 79B"
