Gene stable ID,Drosophila melanogaster - (Fruit fly) gene name,Drosophila melanogaster - (Fruit fly) gene stable ID,"Drosophila melanogaster - (Fruit fly) orthology confidence [0 low, 1 high]",Drosophila melanogaster - (Fruit fly) homology type
LOC6902552,CG8173,FBgn0030864,0,ortholog_one2many
LOC6897207,CG43210,FBgn0262846,1,ortholog_one2one
LOC4814018,PGRP-LF,FBgn0035977,1,ortholog_one2one
LOC4817869,TfIIS,FBgn0010422,1,ortholog_one2one
LOC6898001,RhoGAP93B,FBgn0038853,1,ortholog_one2one
LOC4816216,CG13077,FBgn0032810,1,ortholog_one2one
LOC4803285,bnl,FBgn0014135,1,ortholog_one2one
LOC4817791,net,FBgn0002931,1,ortholog_one2one
LOC4817676,mEFTs,FBgn0032646,1,ortholog_one2one
LOC117184822,COX6B,FBgn0031066,1,ortholog_one2many
LOC6901969,Ubr3,FBgn0260970,1,ortholog_one2one
LOC4815235,dtn,FBgn0262730,1,ortholog_one2one
LOC4816431,Tif-IA,FBgn0032988,1,ortholog_one2one
LOC4812752,CG14566,FBgn0037127,1,ortholog_one2one
LOC4816590,ms(2)34Fe,FBgn0261529,1,ortholog_one2one
LOC6900993,CG16985,FBgn0035355,1,ortholog_one2many
LOC6898126,CG30427,FBgn0043792,1,ortholog_one2one
LOC26533571,Nipped-A,FBgn0053554,0,ortholog_one2one
LOC6896880,CG31161,FBgn0051161,0,ortholog_one2many
LOC6896880,CCY,FBgn0267592,0,ortholog_one2many
LOC4815739,CG14406,FBgn0030595,1,ortholog_one2one
LOC4818162,CG9150,FBgn0031775,1,ortholog_one2one
LOC4804449,GEFmeso,FBgn0050115,1,ortholog_one2one
LOC4800403,RpS7,FBgn0039757,1,ortholog_one2one
LOC4812651,Teh3,FBgn0040697,1,ortholog_one2one
LOC4803278,CG7432,FBgn0038727,1,ortholog_one2one
LOC6897344,mask,FBgn0043884,1,ortholog_one2one
LOC4813320,mv,FBgn0288310,1,ortholog_one2one
LOC4811983,nes,FBgn0026630,1,ortholog_one2many
LOC4800669,ALiX,FBgn0086346,0,ortholog_one2one
LOC4805173,CG9344,FBgn0034564,0,ortholog_one2one
LOC4801897,Osi11,FBgn0037418,1,ortholog_one2one
LOC4801842,Smg6,FBgn0039260,0,ortholog_one2one
LOC4803736,l(2)k09913,FBgn0021979,0,ortholog_one2one
LOC4800665,CG12883,FBgn0039538,1,ortholog_one2many
